Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
35	-26.373623	14.712564	-0.74972785	-64.01909	-31.689363	54.94658	-0.13486342	-383.3953	200.0	200.0	139999	-23.159077	85.99889	32.84086	-605.75684	-23.160025	86.00729	33.031235	-608.75476	22.070618	120.73484	1564.0130126476288
36	-27.920572	22.877728	-0.66179436	-76.421005	-35.531815	32.355476	-0.2426466	-165.21036	200.0	200.0	143999	-23.717468	85.84322	32.4717	-609.9936	-23.720236	85.86542	32.230457	-614.08923	22.558262	137.80522	1608.9495866298676
37	-30.982391	33.979202	-1.4645864	-157.68015	-41.202217	65.60679	-0.35075542	-381.6584	200.0	200.0	147999	-24.426994	84.56665	30.526232	-606.30774	-24.428482	84.577774	30.475142	-607.3889	23.306234	121.82712	1654.0220425128937
38	-32.114113	26.170515	-0.2369165	-88.948555	-34.716183	55.181942	-0.7354753	-382.1219	200.0	200.0	151999	-24.141325	81.72041	30.87476	-604.1102	-24.14206	81.72566	31.149874	-608.428	23.143562	109.75716	1699.0350115299225
39	-48.72929	84.74035	-1.682117	-382.69077	-31.326767	27.091347	-0.149187	-166.06638	200.0	200.0	155999	-25.024055	82.24824	29.541016	-618.44904	-25.021715	82.23651	27.586843	-619.7783	23.830797	103.01081	1743.6305649280548
40	-26.252544	21.786219	-0.2833853	-79.58034	-38.680634	57.121616	-0.34878543	-383.0621	200.0	200.0	159999	-25.771648	83.150894	24.531372	-614.1543	-25.775906	83.1731	25.992596	-618.5832	24.790594	109.933334	1788.6104197502136
41	-30.542501	32.980865	-1.3074927	-149.80475	-33.579063	44.317688	-0.34801483	-383.62134	200.0	200.0	163999	-25.026497	82.01763	25.644127	-617.8249	-25.023672	82.00412	24.51877	-619.0049	24.069366	97.48261	1833.3314549922943
42	-32.508766	22.982494	-1.2971741	-87.54325	-41.430458	66.31044	-0.5482996	-383.70496	200.0	200.0	167999	-24.798225	81.81457	26.140656	-627.5199	-24.79813	81.81443	27.75296	-624.68317	23.576082	115.2988	1878.4155445098877
43	-28.940632	22.307312	-1.8087702	-89.77784	-34.091312	42.756916	-1.2753658	-379.22464	200.0	200.0	171999	-24.242563	81.285576	23.141533	-632.5248	-24.241085	81.27899	24.114544	-633.9903	23.285805	95.42234	1923.2659511566162
44	-33.825375	25.802408	-10.289085	-98.40836	-31.842724	44.839775	-0.9763583	-383.05762	200.0	200.0	175999	-24.273523	81.19216	21.885958	-636.5583	-24.274477	81.19467	21.978619	-636.23883	23.209234	93.69408	1967.7623839378357
