Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
37	-97.935074	129.08739	-3.290773	-369.21732	-114.00981	135.48131	-5.0301576	-383.74722	200.0	200.0	147999	-140.50404	236.13275	99.63413	-454.2498	-140.50276	236.12607	113.186035	-453.92636	140.10858	1051.8132	2719.9610135555267	0.013707235422403301
38	-70.59805	107.32008	-5.2686143	-379.88968	-124.35063	137.76143	-8.723522	-382.62036	200.0	200.0	151999	-138.30405	232.95375	100.97202	-450.11032	-138.31026	232.95506	104.108185	-448.97955	137.6345	981.40735	2791.821667432785	0.013693541880522778
39	-146.37053	145.24522	-9.036011	-380.64792	-108.77378	129.55463	-8.165572	-383.72397	200.0	200.0	155999	-134.65288	232.47461	95.23425	-448.87994	-134.65724	232.47517	99.918106	-449.17993	133.9375	967.5956	2864.1011209487915	0.012887048833466948
40	-190.28479	154.99641	-8.411731	-383.60663	-135.14516	136.14917	-7.3250375	-382.53403	200.0	200.0	159999	-127.73364	237.67752	116.3683	-445.2087	-127.72625	237.67621	117.31742	-448.939	126.38769	987.04474	2937.0210938453674	0.012874174658808142
41	-60.364838	94.09141	-11.827304	-337.80615	-134.63855	134.40016	-6.186407	-383.676	200.0	200.0	163999	-113.27727	245.19043	122.99774	-443.85645	-113.27465	245.1964	128.31175	-447.43457	112.3432	1011.6581	3010.5098078250885	0.013926959399318182
42	-126.736916	147.20435	-4.9337006	-379.88736	-109.19736	128.56236	-6.3475933	-380.55283	200.0	200.0	167999	-104.28992	247.31688	129.9803	-441.25558	-104.30664	247.32819	137.00499	-445.4824	103.71175	959.1417	3083.8836464881897	0.013370164077077905
43	-163.46762	146.84537	-5.2624574	-380.91296	-141.46536	136.78078	-7.3647056	-383.57373	200.0	200.0	171999	-103.04548	249.33473	132.03525	-442.2854	-103.03967	249.3209	136.45317	-443.10052	102.43355	945.71326	3154.9685595035553	0.011619927716505411
44	-122.50828	138.18428	-6.175183	-368.70154	-124.728615	127.54176	-8.971419	-383.70267	200.0	200.0	175999	-101.04977	249.97372	134.36601	-439.3151	-101.05087	249.98972	141.16658	-441.3328	100.42033	1002.6564	3227.4004080295563	0.010508860116111662
45	-160.12036	149.91818	-7.7533507	-380.0942	-108.61133	131.67612	-4.2954574	-381.258	200.0	200.0	179999	-100.35439	250.50238	138.2872	-439.29642	-100.35571	250.50378	147.33922	-440.48605	99.433846	962.50916	3300.0393919944763	0.013871390553262386
46	-92.226456	126.637794	-5.6313114	-382.7728	-125.68284	146.27437	-5.4735065	-382.86725	200.0	200.0	183999	-100.08212	249.66315	136.59225	-438.15027	-100.08223	249.6649	148.97949	-440.7058	99.49063	985.21716	3373.5681414604187	0.015005722554431748
