Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
40	-32.038536	23.405872	-1.6017289	-81.64271	-46.946987	79.92002	-1.1319126	-383.58575	200.0	200.0	159999	-9.010278	74.616325	20.620956	-483.71628	-9.010358	74.61592	21.23183	-482.92145	8.664508	56.628117	1805.014420747757
41	-45.16125	80.82723	-1.1571031	-382.55548	-54.31758	92.47944	-0.7341628	-381.63748	200.0	200.0	163999	-8.817779	74.476746	20.112608	-487.26736	-8.817447	74.472206	21.478294	-486.55023	8.38875	57.91562	1850.1163821220398
42	-64.94199	109.25903	-0.8687923	-382.47574	-40.193386	65.33916	-0.21436684	-382.9332	200.0	200.0	167999	-9.453442	76.36824	21.379955	-488.59555	-9.454369	76.37572	20.553486	-487.70413	9.212971	65.28805	1895.6811492443085
43	-37.909386	54.716755	-0.77754515	-236.66797	-32.914093	43.708397	-0.47330537	-381.4207	200.0	200.0	171999	-10.285092	77.58065	20.960512	-490.63257	-10.284556	77.57741	19.60334	-489.6768	9.873107	68.352875	1941.4833633899689
44	-29.543766	23.723618	-0.88907456	-94.202736	-35.27551	43.27843	-0.91750807	-381.8185	200.0	200.0	175999	-9.554861	77.46516	20.312695	-491.2376	-9.555575	77.47086	20.350191	-490.75937	9.236199	66.60046	1986.4368801116943
45	-68.49156	109.04016	-5.335754	-384.48544	-29.331139	26.996672	-0.27236825	-161.10934	200.0	200.0	179999	-9.674601	78.31013	19.854269	-493.09225	-9.675005	78.3136	19.986877	-492.85593	9.496433	65.57539	2031.1680307388306
46	-28.123667	19.041306	-5.0167446	-92.1619	-37.219925	56.49467	-0.092151985	-380.2958	200.0	200.0	183999	-9.894293	79.33947	22.307652	-494.29825	-9.89419	79.335915	22.729877	-494.02634	9.83758	66.8032	2076.15767121315
47	-40.252472	32.346912	-2.2072563	-118.00846	-37.906517	63.57116	-1.066413	-382.14856	200.0	200.0	187999	-9.600317	78.762695	19.597996	-496.14667	-9.600946	78.76721	20.320261	-496.29764	9.288988	63.54178	2121.4284179210663
48	-37.29471	38.307114	-1.0659802	-153.14206	-35.918114	45.50506	-0.68809277	-382.60077	200.0	200.0	191999	-9.518308	78.11854	21.74414	-497.61707	-9.518748	78.12164	21.129827	-497.02386	9.200402	62.068996	2166.6786522865295
49	-54.140583	83.977	-2.4908416	-380.42215	-36.571346	56.902996	-0.2989316	-383.3098	200.0	200.0	195999	-9.913668	78.614586	21.248306	-501.46558	-9.913959	78.616554	19.953743	-500.85947	9.635523	53.431877	2212.196726322174
50	-44.226067	82.01063	-0.9104592	-383.38843	-36.717716	54.719166	-0.8035465	-383.0731	200.0	200.0	199999	-10.630227	79.77113	19.59203	-506.3365	-10.630468	79.77137	19.181803	-505.90714	10.458058	54.556538	2257.470004796982
51	-22.110247	13.179285	-1.0207043	-53.678272	-29.69634	26.98997	-0.73840916	-124.08031	200.0	200.0	203999	-11.176035	79.674904	18.208767	-506.9196	-11.177084	79.67795	18.444458	-506.44943	11.106672	64.59703	2303.239609479904
52	-46.627224	81.6998	-2.3032577	-384.2849	-45.743298	73.91276	-0.23065923	-383.80463	200.0	200.0	207999	-11.243564	79.399826	17.930647	-504.04968	-11.2432785	79.396736	18.091387	-503.2922	11.218342	93.50346	2349.101817369461
53	-31.172358	23.215199	-1.5803276	-87.00527	-28.44229	41.31742	-0.5254661	-378.78766	200.0	200.0	211999	-11.291898	78.41172	17.162977	-499.9237	-11.291671	78.41156	17.599352	-499.44998	11.0349245	65.86324	2394.1184997558594
54	-49.990456	79.7814	-1.3065814	-382.0042	-38.19673	66.00883	-0.29538807	-382.3791	200.0	200.0	215999	-11.808087	78.82698	15.883562	-499.87082	-11.808401	78.82775	17.355787	-499.7092	11.795706	73.058174	2438.9207055568695
55	-39.575054	80.08399	-0.94057465	-383.28604	-37.55624	65.51374	-1.0494486	-382.84155	200.0	200.0	219999	-10.9990225	79.06323	17.782644	-498.1079	-10.999948	79.06683	18.05585	-497.61438	10.778443	86.72017	2484.31747841835
56	-51.017395	79.76098	-1.9244139	-380.11176	-32.962353	41.909218	-0.89771986	-382.62354	200.0	200.0	223999	-10.815564	79.17216	18.041777	-496.8181	-10.815315	79.17171	17.99694	-496.24637	10.866866	65.509	2530.2430305480957
57	-43.071125	32.919434	-2.026558	-98.72822	-35.53436	43.179253	-0.55781233	-383.705	200.0	200.0	227999	-10.037806	78.524086	18.874258	-496.01096	-10.037724	78.52492	19.33516	-495.26532	9.984898	67.77063	2575.2352118492126
58	-31.468622	26.830236	-1.0313529	-98.70235	-47.917027	80.01209	-1.0228747	-383.79092	200.0	200.0	231999	-9.58933	78.67608	19.003683	-497.13513	-9.590191	78.67735	19.70531	-497.19583	9.3453045	55.903107	2620.453619480133
59	-39.249596	21.494772	-12.781171	-86.44106	-37.38646	56.97812	-0.8005229	-383.06085	200.0	200.0	235999	-9.533288	78.26583	17.500017	-499.30652	-9.5337515	78.267654	17.973602	-499.59573	9.228914	54.377678	2665.965129852295
60	-59.728325	110.262566	-0.7124965	-384.21387	-27.010662	41.28279	-1.3207066	-383.70923	200.0	200.0	239999	-10.629979	79.977806	18.105022	-502.3468	-10.630865	79.98205	17.795794	-501.4407	10.452101	68.8019	2710.5503511428833
61	-47.548496	38.90483	-1.8651689	-156.34628	-48.190277	65.209206	-5.9716773	-382.58743	200.0	200.0	243999	-10.902617	80.5139	18.780659	-502.22787	-10.90217	80.51126	17.400486	-501.43954	10.760876	52.058533	2756.0047459602356
62	-35.302223	30.13339	-5.1298556	-118.98336	-40.00514	65.976906	-0.5531916	-383.39313	200.0	200.0	247999	-9.7062435	80.65537	18.639502	-504.57678	-9.705487	80.65254	19.048264	-504.9409	9.492398	63.774624	2801.7400403022766
63	-33.62997	23.762074	-3.2088327	-80.8217	-40.290115	65.327965	-0.636691	-383.70773	200.0	200.0	251999	-9.19763	80.16848	20.403942	-506.331	-9.198318	80.17196	20.065147	-506.425	9.166992	59.642708	2847.1742465496063
64	-27.610722	17.775133	-0.8266954	-67.370544	-37.16879	55.404354	-0.3651956	-382.46045	200.0	200.0	255999	-9.577568	80.43384	20.888762	-509.10498	-9.577416	80.43397	19.493916	-509.77762	9.36952	52.838806	2892.6747303009033
65	-22.922709	18.635761	-1.3748761	-74.86394	-29.678526	40.768063	-0.62429607	-383.20645	200.0	200.0	259999	-9.544788	79.20959	19.548063	-507.52045	-9.546134	79.21633	19.950253	-507.90265	9.144117	74.16239	2938.4167964458466
66	-32.631382	27.732788	-1.0505097	-101.50132	-29.506556	23.847982	-1.4087291	-124.07099	200.0	200.0	263999	-9.212694	78.42884	18.249933	-507.0607	-9.212935	78.42875	19.17332	-508.31067	8.922326	62.919235	2983.9468829631805
67	-36.457558	30.652964	-1.1113681	-115.16741	-29.931154	26.474234	-1.1692291	-123.08709	200.0	200.0	267999	-8.979152	78.06736	19.845676	-503.98642	-8.979126	78.06283	21.072376	-503.84293	8.787812	69.15656	3029.3768739700317
