Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
33	-16.53005	13.577353	-0.18716179	-49.328014	-22.015541	14.747558	-1.0632167	-87.0843	200.0	200.0	131999	-2.3608105	7.824963	0.95582354	-61.304398	-2.360752	7.824626	1.4956514	-61.10461	2.3004336	0.59868395	2344.6176290512085	0.01747427445536123
34	-19.873129	17.82384	-0.4310686	-64.01976	-21.425898	13.612645	-0.33398962	-67.01449	200.0	200.0	135999	-2.3865378	7.783381	1.2495253	-60.727898	-2.38658	7.7831855	1.828985	-60.44842	2.2811196	0.5699611	2417.0040562152863	0.0072725075739660154
35	-21.335197	12.777426	-1.8039942	-49.075867	-23.480463	14.337349	-0.7443488	-66.662415	200.0	200.0	139999	-2.3458476	7.656716	1.2706976	-60.252445	-2.3458748	7.656504	1.0491911	-60.03139	2.263344	0.5553107	2488.0087761878967	0.007560240303920489
36	-20.013102	11.841642	-0.480694	-49.723827	-18.20699	10.463934	-0.11229722	-61.667454	200.0	200.0	143999	-2.338007	7.610544	1.4833249	-60.058113	-2.3379734	7.610106	1.6309128	-59.929394	2.2573178	0.5144236	2558.1638436317444	0.0069747802983068435
37	-18.354649	16.511477	-0.15174262	-68.905556	-21.93421	14.555213	-1.7280493	-79.0259	200.0	200.0	147999	-2.2923489	7.5443463	0.92190874	-60.78832	-2.2923546	7.544021	1.2923582	-60.74477	2.2261631	0.5440109	2628.364414691925	0.006830519052858566
38	-17.562016	8.899337	-0.630609	-36.143536	-21.1607	11.90715	-0.89332527	-69.29916	200.0	200.0	151999	-2.2818034	7.516793	2.3532383	-60.755928	-2.2817776	7.516147	1.4964079	-60.299	2.2115805	0.5105487	2699.055289030075	0.012645756183021686
39	-21.358	17.973207	-0.2733784	-85.99094	-20.4511	13.846224	-0.61339056	-68.62877	200.0	200.0	155999	-2.2535815	7.462787	1.2929379	-60.91628	-2.2536259	7.4628377	0.9026463	-60.50186	2.1821764	0.44794902	2771.1307804584503	0.006816878479022042
40	-25.084515	10.71964	-0.26900488	-52.31947	-22.413425	13.369549	-1.8841232	-78.64804	200.0	200.0	159999	-2.2084532	7.358682	1.1704067	-60.685146	-2.2084308	7.3584332	1.3892968	-60.21109	2.1439228	0.4330523	2841.9648921489716	0.008820784114204498
41	-23.425686	12.831327	-4.7848034	-60.44907	-18.934887	13.166132	-0.65575814	-80.311584	200.0	200.0	163999	-2.2182245	7.3407574	1.1623249	-60.39538	-2.2182243	7.3402934	0.8791912	-60.26168	2.1593702	0.4049253	2913.9076092243195	0.009169773547038464
42	-16.721079	9.144191	-0.6407256	-33.629673	-21.024696	12.222683	-0.44345966	-57.019463	200.0	200.0	167999	-2.2216125	7.272978	1.416415	-61.08222	-2.2216268	7.272566	1.1307921	-60.44196	2.1576176	0.4968622	2985.2018117904663	0.007359601681252362
43	-22.136795	12.082969	-0.8443435	-46.00558	-19.544184	13.402098	-0.8085131	-68.02542	200.0	200.0	171999	-2.2032447	7.213551	0.7953584	-60.59005	-2.2032182	7.2132783	0.84324557	-60.306946	2.1380615	0.52420056	3056.932323217392	0.010946497539332214
44	-20.316292	12.602704	-1.5258758	-56.565773	-21.445585	14.141796	-0.77015764	-65.42118	200.0	200.0	175999	-2.1820965	7.1623883	0.82244325	-61.746693	-2.1821556	7.1622767	0.7435663	-61.50373	2.1066704	0.46546146	3127.7979876995087	0.0063897949538211105
45	-17.583767	14.8092375	-0.86582583	-68.657196	-21.313488	13.563436	-0.70572656	-70.057205	200.0	200.0	179999	-2.1439035	7.1531744	0.87724596	-60.53558	-2.1439164	7.1530194	0.7411071	-60.431374	2.0852954	0.3951578	3199.7092249393463	0.015322644915353607
46	-20.992552	7.497529	-5.289787	-37.967354	-21.618507	12.509023	-0.6457314	-69.29402	200.0	200.0	183999	-2.1346288	7.1356792	1.0368668	-60.47504	-2.1346505	7.135215	0.69037807	-60.30932	2.0893457	0.41394666	3272.275129556656	0.01279719924918827
47	-22.800722	17.504803	-0.7174769	-74.02164	-20.715012	11.962152	-0.6597814	-80.05798	200.0	200.0	187999	-2.135634	7.0940986	0.8158063	-60.95246	-2.13559	7.093413	0.6597218	-60.37521	2.0624354	0.42054656	3341.97682595253	0.009298157392515294
48	-18.73524	10.958098	-0.9756135	-47.586704	-22.430977	14.47234	-0.94224036	-70.95658	200.0	200.0	191999	-2.1216745	7.009318	1.0297146	-60.929142	-2.121648	7.008716	0.81621516	-60.808342	2.0606298	0.3068327	3412.954174041748	0.010677314838482622
49	-15.201813	8.150048	-1.0473679	-28.3565	-20.877378	11.528307	-1.3621018	-58.43186	200.0	200.0	195999	-2.1274965	6.9654455	0.6748432	-61.09298	-2.1275337	6.9654713	0.6068463	-60.857063	2.072447	0.36071536	3483.717802286148	0.014093745900914835
50	-19.727375	8.581048	-2.1621506	-42.819553	-20.258232	12.414151	-0.65037936	-63.883183	200.0	200.0	199999	-2.0951211	6.8559966	0.66843593	-61.360123	-2.0951638	6.8556685	0.61688495	-60.904373	2.038916	0.34186798	3555.778909921646	0.011311550442924076
51	-15.394455	9.3468275	-0.7833519	-35.18332	-23.216585	14.80347	-0.83283603	-68.101364	200.0	200.0	203999	-2.0507305	6.764832	0.7041188	-60.279194	-2.050716	6.7645802	0.64081824	-59.767883	1.9850688	0.47602612	3627.0066900253296	0.014930918503346146
52	-22.364798	11.680561	-1.4073616	-52.919025	-20.25753	12.614757	-0.83553195	-57.183937	200.0	200.0	207999	-2.0239422	6.7665105	0.8367414	-60.65176	-2.023889	6.765928	0.51875347	-60.548355	1.9769998	0.37322253	3698.8854377269745	0.012976369829848304
53	-20.387606	14.921293	-1.751209	-59.180958	-19.944569	12.738797	-0.3754076	-52.728085	200.0	200.0	211999	-2.0207639	6.7128496	0.9753935	-60.459705	-2.0207865	6.7127557	0.8678097	-60.104153	1.9481354	0.36864904	3769.6255226135254	0.01296340642342488
54	-27.088833	16.805359	-4.702059	-62.932346	-22.373314	15.038473	-0.8239216	-69.22301	200.0	200.0	215999	-2.030922	6.7126746	0.68895406	-60.785294	-2.0309083	6.712611	0.9152367	-60.10256	1.9831359	0.34469634	3839.8814795017242	0.014305360195817036
