Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma	CStage
78	2.5	7.2168784	10.0	-10.0	0.9	7.361386	10.0	-10.0	162.41667	176.93	311999	-3.718525	2.711935	16.425165	-15.788042	-3.7182887	2.715797	16.661547	-16.151419	3.5553486	1.1825857	6274.661504983902	0.008324717434934846	sbP
79	2.8	7.222188	10.0	-10.0	0.4	7.337575	10.0	-10.0	158.56	173.02	315999	-3.7180085	2.6600373	18.462524	-17.405508	-3.7180417	2.6637905	17.220457	-16.903185	3.5491984	1.1250811	6359.215143442154	0.007834425968449544	sbP
80	0.41666666	7.3479967	10.0	-10.0	1.4	7.6183987	10.0	-10.0	172.25	156.47	319999	-3.7079914	2.6502266	17.123264	-15.829127	-3.7078478	2.6523163	16.09848	-16.565435	3.5468023	1.1400979	6441.666462898254	0.007826599369080464	sbP
81	1.3636364	6.938335	10.0	-10.0	2.2	6.2577953	10.0	-10.0	181.27272	181.49	323999	-3.6734126	2.666759	17.607122	-16.87669	-3.673426	2.6699867	17.26852	-15.501514	3.5087383	1.1390117	6523.84637928009	0.00797593807832066	sbP
82	3.5714285	7.178483	10.0	-10.0	1.7	6.9361377	10.0	-10.0	136.39285	173.86	327999	-3.6452432	2.669604	16.17908	-16.581377	-3.6451259	2.6722624	17.296637	-15.848294	3.474373	1.1310716	6604.2718851566315	0.00829150164616601	sbP
83	3.9130435	5.70212	10.0	-10.0	1.3	6.4272857	10.0	-10.0	182.86957	192.02	331999	-3.6566048	2.6295073	18.615131	-17.579372	-3.6565025	2.6334555	16.272058	-15.939724	3.4868152	1.1293452	6686.981147289276	0.008120006301086434	sbP
84	3.2	7.332121	10.0	-10.0	1.8	6.690292	10.0	-10.0	152.8	178.34	335999	-3.6457133	2.609926	15.937668	-15.852297	-3.6455977	2.612835	17.359907	-15.453215	3.4851267	1.1049081	6769.130845546722	0.007795371081339342	sbP
85	1.9047619	5.8708706	10.0	-10.0	3.1	7.0278015	10.0	-10.0	195.95238	166.88	339999	-3.6122057	2.6038592	16.69842	-16.197569	-3.6121802	2.6062708	17.302013	-15.731283	3.4468663	1.1073818	6850.198531389236	0.007944113926148116	sbP
86	4.1666665	6.400955	10.0	-10.0	1.0	7.5498343	10.0	-10.0	159.95833	160.12	343999	-3.5769606	2.6038234	17.711792	-16.194906	-3.5768335	2.6073961	17.027855	-15.918811	3.4115229	1.1090466	6930.291342496872	0.007779803694147354	sbP
87	-0.41666666	7.3479967	10.0	-10.0	0.6	6.902173	10.0	-10.0	170.70833	178.19	347999	-3.5681746	2.5946887	20.011175	-17.063587	-3.5682063	2.5974293	17.846045	-15.604782	3.4075704	1.087852	7011.706254482269	0.008087607313828724	sbP
88	2.8	7.222188	10.0	-10.0	1.4	7.073896	10.0	-10.0	161.68	174.81	351999	-3.5490534	2.5669582	18.660606	-16.253656	-3.548924	2.5691063	18.24783	-15.572379	3.3906493	1.0825554	7092.516990661621	0.007920329169731087	sbP
89	0.5882353	4.159452	10.0	-10.0	2.3	6.760917	10.0	-10.0	237.64706	175.74	355999	-3.5287561	2.5672626	17.727074	-15.802627	-3.5287344	2.569748	16.04649	-14.990341	3.3731964	1.0590435	7173.181665420532	0.00791241675297811	sbP
