Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
38	7.739545	4.33536	10.0	-11.172183	7.709222	5.312315	9.902672	-13.2065325	90.704544	82.3	151999	0.7667917	2.9057496	15.064134	-15.098847	0.7667993	2.907798	13.814854	-14.926119	-0.9506321	0.67885613	2900.61278629303	0.008664282426445478
39	7.6474304	5.418537	10.0	-12.01434	7.3523893	6.090096	10.0	-18.861834	80.7	95.96	155999	0.8716122	2.9291642	14.509775	-14.5629	0.8717157	2.9305367	14.8728695	-15.09856	-1.0541757	0.67948866	2974.851325273514	0.00848507675683348
40	7.9516845	5.0138073	9.964165	-14.195584	8.193004	4.759525	9.981195	-12.614963	82.520836	73.88	159999	0.9744125	2.9763572	14.069053	-15.111866	0.974467	2.977862	14.67482	-14.548753	-1.1516409	0.67060065	3048.035655736923	0.00882078411420451
41	7.604274	4.8941064	9.897152	-11.962917	8.311927	4.3452535	9.939723	-13.032253	92.681816	74.75	163999	1.0549537	3.00367	14.8094	-14.580633	1.0549834	3.0048764	14.1953335	-14.860272	-1.2326374	0.67339253	3124.6971921920776	0.00863834147834766
42	7.5440555	5.2651453	10.0	-12.756749	7.9699025	4.6127496	9.923842	-12.409631	92.37209	84.55	167999	1.1089417	3.048843	15.787223	-15.637784	1.109017	3.049871	16.239717	-15.555327	-1.2825172	0.6746977	3200.6944241523743	0.008980112669448457
43	8.330467	4.870013	9.928821	-14.65	8.064883	4.7734246	9.93778	-13.41614	70.2807	79.55	171999	1.1755981	3.110675	14.552344	-15.61695	1.1756697	3.11223	13.894486	-15.560822	-1.3550957	0.6740163	3275.1311106681824	0.008451221131168685
44	8.607747	3.022821	9.919277	-2.367278	8.448999	3.9157941	9.901957	-12.005189	84.085106	78.15	175999	1.2967944	3.1416874	14.692009	-15.368603	1.2968776	3.1430564	14.087855	-15.986534	-1.4718363	0.707298	3348.936231613159	0.008276422265283669
45	7.911201	4.938219	9.954826	-12.32293	8.607772	3.2009113	9.922169	-12.2436	86.489365	86.95	179999	1.3957375	3.1808221	15.598646	-15.569202	1.3958083	3.182024	14.4693775	-15.571707	-1.5650505	0.6949311	3426.775298833847	0.00895322612244952
46	8.348797	4.663949	9.981384	-14.217237	8.251718	4.088641	9.935149	-15.348282	74.754715	88.97	183999	1.4817367	3.2026968	14.134242	-14.981415	1.4817128	3.2042716	14.123824	-15.684825	-1.6466942	0.7117148	3499.8560123443604	0.00894428184060891
47	9.299716	1.6234571	9.9387245	-2.190722	8.933691	2.965431	9.950619	-6.218249	72.96364	70.8	187999	1.558466	3.2159677	13.579796	-15.668213	1.5585566	3.217247	14.480656	-15.897487	-1.7332186	0.6973165	3574.209240436554	0.007929666323677883
